Directory,DR,Cost,Link Type,Submitted Date,Status,Listing URL,Backlink Type,Notes,Priority
Product Hunt,91+,Free,Dofollow,,Pending,,,Tier 1
Crunchbase,91,Free,Dofollow,,Pending,,,Tier 1
AlternativeTo,80+,Free,Dofollow,,Pending,,,Tier 1
TheSaaSDir,Unknown,Free/$19,Dofollow,,Pending,,,Tier 1
SaaSCity,Unknown,Free/$19.99,Dofollow (paid),,Pending,,,Tier 1
BetterLaunch,58,Free,Dofollow (with badge),,Pending,,,Tier 1
ToolsDirectoryOnline,Unknown,Free,Unknown,,Pending,,,Tier 1
Toolsland.ai,Unknown,Free,Unknown,,Pending,,,Tier 1
WebRank Directory,Unknown,Free,Dofollow,,Pending,,,Tier 1
Toolquix,Unknown,Free/$0.49/$5,Dofollow (+$0.49 or $5 tier),,Pending,,,Tier 2
Zearches.com,Unknown,Free,Unknown,,Pending,,,Tier 2
SoftwareMarket.com,Unknown,Free,Unknown,,Pending,,,Tier 2
TheSaasHub,Unknown,Free/Premium,Dofollow (premium),,Pending,,,Tier 2
SaaSHub,Unknown,Free,Dofollow,,Pending,,,Tier 2
Futurepedia,69,Free,Dofollow,,Pending,,,Tier 2
SaaSWorthy,Unknown,Free,Dofollow,,Pending,,,Tier 2
Turbo0,Unknown,Free,Dofollow,,Pending,,,Tier 2
TechDirectory,70,Free,Dofollow,,Pending,,,Tier 2
Dang.ai,Unknown,Free,Dofollow,,Pending,,,Tier 3
Findly Tools,Unknown,Free,Dofollow,,Pending,,,Tier 3
ToolDirectory.ai,Unknown,Free/Paid,Dofollow,,Pending,,,Tier 3
Find My AI,Unknown,Paid,Dofollow,,Pending,,,Tier 3
Funnel Directory,Unknown,Free,Dofollow,,Pending,,,Tier 3
AI Tools Directory (aitools.inc),69,Free,Dofollow,,Pending,,,Tier 3
AI Tools Directory (aitoolsdirectory.com),44,Free,Dofollow,,Pending,,,Tier 3
High Rank Directory,54,Free,Unknown,,Pending,,,Tier 4
Site Promotion Directory,46,Free,Unknown,,Pending,,,Tier 4
Quality Internet Directory,39,Free,Unknown,,Pending,,,Tier 4
Site Web Directory,59,Free,Unknown,,Pending,,,Tier 4
